name,description,gx_media_links,WKT,longitude,latitude
"Restorant","https://www.facebook.com/groups/630193237595288/permalink/760965237851420/",,"POINT Z (14.0686148 52.5776993 0)",14.0686148,52.5776993
"Haus","https://www.facebook.com/groups/630193237595288/permalink/742807266333884/",,"POINT Z (13.743538 51.599827 0)",13.743538,51.599827
"Ta Prohm Temple- LEGAL LP
","https://www.facebook.com/groups/630193237595288/permalink/743897396224871/",,"POINT Z (103.8870754 13.4352128 0)",103.8870754,13.4352128
"Haus","https://www.facebook.com/groups/630193237595288/permalink/744312416183369/",,"POINT Z (8.099171 51.48713 0)",8.099171,51.48713
"Garage/Bunker","https://www.facebook.com/groups/630193237595288/permalink/745736326040978/",,"POINT Z (6.2917667 50.6249333 0)",6.2917667,50.6249333
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/745733646041246/",,"POINT Z (6.282153 50.639868 0)",6.282153,50.639868
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/745729229375021/",,"POINT Z (6.287963 50.660608 0)",6.287963,50.660608
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/745692346045376/",,"POINT Z (10.861073 52.431838 0)",10.861073,52.431838
"Kirche ","https://www.facebook.com/groups/630193237595288/permalink/747533989194545/",,"POINT Z (13.3684483 52.1931224 0)",13.3684483,52.1931224
"Krankenhaus","https://www.facebook.com/groups/630193237595288/permalink/747781742503103/",,"POINT Z (19.088861 49.778966 0)",19.088861,49.778966
"Haus mit Auto
","https://www.facebook.com/groups/630193237595288/permalink/747763489171595/",,"POINT Z (9.351627 54.313783 0)",9.351627,54.313783
"Haus","https://www.facebook.com/groups/630193237595288/permalink/748599669087977",,"POINT Z (102.247756199321 2.19814666810837 0)",102.247756199321,2.19814666810837
"Schiessplatz","https://www.facebook.com/groups/630193237595288/permalink/749996555614955/",,"POINT Z (10.120314 54.375525 0)",10.120314,54.375525
"Haus","https://www.facebook.com/groups/630193237595288/permalink/749985982282679/",,"POINT Z (7.371222 51.652829 0)",7.371222,51.652829
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/749562795658331/",,"POINT Z (1.842764 49.608525 0)",1.842764,49.608525
"Gefängnis","https://www.facebook.com/groups/630193237595288/permalink/749434279004516/",,"POINT Z (12.7851764558104 50.7047044905342 0)",12.7851764558104,50.7047044905342
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/752398038708140/",,"POINT Z (13.250751 52.042276 0)",13.250751,52.042276
"Flugzeugfriedhof","https://www.facebook.com/groups/630193237595288/permalink/752380718709872",,"POINT Z (100.651353641902 13.7642667970065 0)",100.651353641902,13.7642667970065
"Haus","https://www.facebook.com/groups/630193237595288/permalink/752375502043727",,"POINT Z (9.909578 52.184744 0)",9.909578,52.184744
"Hafen","https://www.facebook.com/groups/630193237595288/permalink/754180781863199/",,"POINT Z (8.261687 52.348077 0)",8.261687,52.348077
"Haus","https://www.facebook.com/groups/630193237595288/permalink/754177975196813/",,"POINT Z (6.457742 51.770719 0)",6.457742,51.770719
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/754588515155759/",,"POINT Z (6.9236229 51.5060822 0)",6.9236229,51.5060822
"Haus","https://www.facebook.com/groups/630193237595288/permalink/754586645155946/",,"POINT Z (6.92287 51.50617 0)",6.92287,51.50617
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/754566591824618/",,"POINT Z (12.134199 51.059309 0)",12.134199,51.059309
"Stallungen","https://www.facebook.com/groups/630193237595288/permalink/754212331860044/",,"POINT Z (9.18366 48.9023957 0)",9.18366,48.9023957
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/754211885193422/",,"POINT Z (9.9932181 53.4654755 0)",9.9932181,53.4654755
"Kraftwerk","https://www.facebook.com/groups/630193237595288/permalink/754207261860551/",,"POINT Z (8.93306667724239 52.1894400792337 0)",8.93306667724239,52.1894400792337
"Muna Brücken
","https://www.facebook.com/groups/630193237595288/permalink/754199521861325/",,"POINT Z (8.5544938 51.4862942 0)",8.5544938,51.4862942
"Verwaltungsgebäude","https://www.facebook.com/groups/630193237595288/permalink/754177465196864/",,"POINT Z (11.046127 50.989544 0)",11.046127,50.989544
"Farm mit Autos
","https://www.facebook.com/groups/630193237595288/permalink/754176408530303/",,"POINT Z (6.7811674 53.140031 0)",6.7811674,53.140031
"Bunker","https://www.facebook.com/groups/630193237595288/permalink/754128201868457/",,"POINT Z (13.9816026 52.2267147 0)",13.9816026,52.2267147
"Industriegelände","https://www.facebook.com/groups/630193237595288/permalink/755337281747549/",,"POINT Z (5.975755 49.488347 0)",5.975755,49.488347
"Haus","https://www.facebook.com/groups/630193237595288/permalink/755519568395987/",,"POINT Z (4.5114159 51.3483892 0)",4.5114159,51.3483892
"Hotel","https://www.facebook.com/groups/630193237595288/permalink/756698028278141",,"POINT Z (8.332959 52.311152 0)",8.332959,52.311152
"Haus","https://www.facebook.com/groups/630193237595288/permalink/756847134929897/",,"POINT Z (8.378134 52.60312 0)",8.378134,52.60312
"Zoo","https://www.facebook.com/groups/630193237595288/permalink/765104117437532/",,"POINT Z (10.314618 48.04709 0)",10.314618,48.04709
"Friedhof","https://www.facebook.com/groups/630193237595288/permalink/759731801308097/",,"POINT Z (103.822985 1.33617 0)",103.822985,1.33617
"Freibad","https://www.facebook.com/groups/630193237595288/permalink/759731641308113/",,"POINT Z (11.701559 51.824576 0)",11.701559,51.824576
"Tagebau","https://www.facebook.com/groups/630193237595288/permalink/760982857849658/",,"POINT Z (7.0636875 51.2559375 0)",7.0636875,51.2559375
"Camp du Ban Saint Jean","https://www.facebook.com/groups/630193237595288/permalink/762019577745986/",,"POINT Z (6.554666 49.176032 0)",6.554666,49.176032
"Netherlands Pavilion (Expo 2000)","https://www.facebook.com/groups/630193237595288/permalink/762876394326971/",,"POINT Z (9.8203182 52.3191962 0)",9.8203182,52.3191962
"Schloss","https://www.facebook.com/groups/630193237595288/permalink/763612160920061/",,"POINT Z (-4.65144 55.887624 0)"
"Haus","https://www.facebook.com/groups/630193237595288/permalink/763611037586840/",,"POINT Z (6.7 51.1930555555556 0)",6.7,51.1930555555556
"Baumarkt","https://www.facebook.com/groups/630193237595288/permalink/763605104254100/",,"POINT Z (8.0965627 51.579325 0)",8.0965627,51.579325
"Fabrik","https://www.facebook.com/groups/630193237595288/permalink/763228954291715/",,"POINT Z (7.499396 50.909437 0)",7.499396,50.909437
"Bunker Museum - LEGAL LP
","https://www.facebook.com/groups/630193237595288/permalink/765453187402625/",,"POINT Z (6.88272 51.4775 0)",6.88272,51.4775
